segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
glasses-on,ir,ir/frame05.pgm,1,0.9233,125.1942,true,0.1449,0.1929,91.6715,86.2586,0.9490,131.0711,58.7
glasses-on,ir,ir/frame06.pgm,0,,,false,,,,,0.5455,114.8849,4.0
glasses-on,ir,ir/frame07.pgm,1,0.9183,130.3572,true,0.1586,0.2367,90.8952,87.0683,0.9547,133.6823,55.3
glasses-on,ir,ir/frame08.pgm,0,,,false,,,,,0.5587,114.2434,3.7
glasses-on,ir,ir/frame09.pgm,1,0.9171,130.1033,true,0.2016,0.2566,91.6069,86.3431,0.9503,132.3456,54.6
glasses-on,ir,ir/frame10.pgm,0,,,false,,,,,0.5643,117.7209,3.7
glasses-on,ir,ir/frame11.pgm,1,0.9238,132.3860,true,0.1990,0.2647,91.3708,86.1148,0.9431,132.7418,53.8
glasses-on,ir,ir/frame12.pgm,0,,,false,,,,,0.5513,119.5862,3.7
glasses-on,ir,ir/frame13.pgm,1,0.9195,130.7570,true,0.2385,0.2863,89.9660,86.0294,0.9441,131.2317,53.3
glasses-on,ir,ir/frame14.pgm,0,,,false,,,,,0.5386,127.1768,3.7
glasses-on,ir,ir/frame15.pgm,1,0.9195,129.9779,true,0.1701,0.2242,90.4308,84.5860,0.9525,132.5767,52.8
glasses-on,ir,ir/frame16.pgm,0,,,false,,,,,0.5634,122.6521,3.7
glasses-on,ir,ir/frame17.pgm,1,0.9232,129.7730,true,0.2024,0.2459,90.1196,84.6861,0.9479,132.4940,52.5
glasses-on,ir,ir/frame18.pgm,0,,,false,,,,,0.5400,122.6373,3.7
glasses-on,ir,ir/frame19.pgm,1,0.9199,131.3700,true,0.1772,0.2192,89.7871,84.4899,0.9475,132.2152,52.2
glasses-on,ir,ir/frame20.pgm,0,,,false,,,,,0.5307,128.7312,3.8
glasses-on,ir,ir/frame21.pgm,1,0.9234,127.2216,true,0.1679,0.2153,91.5344,85.0093,0.9495,131.6713,51.7
glasses-on,ir,ir/frame22.pgm,0,,,false,,,,,0.5466,123.6756,3.8
glasses-on,ir,ir/frame23.pgm,1,0.9199,128.9510,true,0.1675,0.1851,91.7869,84.8139,0.9556,130.8943,51.6
sweep,rgb,rgb/rgb00.ppm,1,0.9430,139.7298,true,0.2161,0.2529,95.5265,91.5965,0.9519,145.9562,119.5
