camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,natural-blink,ir,ir/frame14.pgm,0.1084,0.1398,0.4496,0.5204,0.0009,0.0012
zenbook,natural-blink,ir,ir/frame15.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame16.pgm,0.2404,0.2558,0.2052,0.2149,0.0013,0.0005
zenbook,natural-blink,ir,ir/frame17.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame18.pgm,0.2642,0.2699,0.1655,0.1889,0.0018,0.0004
zenbook,natural-blink,ir,ir/frame19.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame20.pgm,0.2584,0.2653,0.1624,0.1746,0.0021,0.0003
zenbook,natural-blink,ir,ir/frame21.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame22.pgm,0.2445,0.2543,0.1682,0.1999,0.0043,0.0003
zenbook,natural-blink,ir,ir/frame23.pgm,,,,,,
zenbook,natural-blink-glasses,rgb,rgb/rgb00.ppm,0.2841,0.2829,0.0875,0.0607,0.0009,0.0375
zenbook,natural-blink-glasses,rgb,rgb/rgb01.ppm,0.2816,0.2860,0.0726,0.0630,0.0012,0.0263
zenbook,natural-blink-glasses,rgb,rgb/rgb02.ppm,0.2760,0.2839,0.0901,0.0840,0.0007,0.0210
zenbook,natural-blink-glasses,rgb,rgb/rgb03.ppm,0.2681,0.2792,0.1246,0.1387,0.0003,0.0229
zenbook,natural-blink-glasses,rgb,rgb/rgb04.ppm,0.2777,0.2905,0.0896,0.0828,0.0007,0.0599
zenbook,natural-blink-glasses,rgb,rgb/rgb05.ppm,0.2667,0.2768,0.1128,0.1183,0.0003,0.0294
zenbook,natural-blink-glasses,rgb,rgb/rgb06.ppm,0.2797,0.2838,0.0973,0.0662,0.0014,0.0301
zenbook,natural-blink-glasses,rgb,rgb/rgb07.ppm,0.2894,0.2947,0.0658,0.0519,0.0006,0.0316
zenbook,natural-blink-glasses,rgb,rgb/rgb08.ppm,0.2915,0.2986,0.0585,0.0523,0.0004,0.0104
zenbook,natural-blink-glasses,rgb,rgb/rgb09.ppm,0.2792,0.2898,0.0878,0.0919,0.0002,0.0393
zenbook,natural-blink-glasses,rgb,rgb/rgb10.ppm,0.2775,0.2874,0.0897,0.0611,0.0026,0.0164
zenbook,natural-blink-glasses,rgb,rgb/rgb11.ppm,0.2877,0.2918,0.0767,0.0603,0.0004,0.0214
zenbook,natural-blink-glasses,rgb,rgb/rgb12.ppm,0.2759,0.2865,0.0890,0.0749,0.0005,0.0259
zenbook,natural-blink-glasses,rgb,rgb/rgb13.ppm,0.2711,0.2814,0.1026,0.0948,0.0002,0.0348
zenbook,natural-blink-glasses,rgb,rgb/rgb14.ppm,0.2747,0.2882,0.0929,0.0845,0.0011,0.0268
zenbook,natural-blink-glasses,rgb,rgb/rgb15.ppm,0.2614,0.2775,0.1132,0.1063,0.0005,0.0440
zenbook,natural-blink-glasses,rgb,rgb/rgb16.ppm,0.2831,0.2892,0.0874,0.0796,0.0009,0.0183
zenbook,natural-blink-glasses,rgb,rgb/rgb17.ppm,0.2883,0.2924,0.0806,0.0519,0.0007,0.0233
zenbook,natural-blink-glasses,rgb,rgb/rgb18.ppm,0.2730,0.2814,0.1049,0.0987,0.0004,0.0514
zenbook,natural-blink-glasses,rgb,rgb/rgb19.ppm,0.2790,0.2832,0.0896,0.0665,0.0007,0.0097
zenbook,natural-blink-glasses,rgb,rgb/rgb20.ppm,0.2873,0.3027,0.0674,0.0711,0.0004,0.0399
zenbook,natural-blink-glasses,rgb,rgb/rgb21.ppm,0.2772,0.2823,0.1014,0.0723,0.0005,0.0380
zenbook,natural-blink-glasses,rgb,rgb/rgb22.ppm,0.2780,0.2899,0.0781,0.0833,0.0004,0.0206
zenbook,natural-blink-glasses,rgb,rgb/rgb23.ppm,0.2739,0.2802,0.0992,0.0861,0.0005,0.0334
zenbook,natural-blink-glasses,ir,ir/frame00.pgm,0.2131,0.1899,0.3678,0.3733,0.0009,0.0324
zenbook,natural-blink-glasses,ir,ir/frame01.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame02.pgm,0.2232,0.2049,0.3338,0.3606,0.0008,0.0202
zenbook,natural-blink-glasses,ir,ir/frame03.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame04.pgm,0.1970,0.1603,0.4384,0.4135,0.0009,0.0292
zenbook,natural-blink-glasses,ir,ir/frame05.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame06.pgm,0.1030,0.0831,0.6463,0.6813,0.0003,0.1072
zenbook,natural-blink-glasses,ir,ir/frame07.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame08.pgm,0.1673,0.1408,0.5214,0.5046,0.0006,0.0480
zenbook,natural-blink-glasses,ir,ir/frame09.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame10.pgm,0.2089,0.1697,0.4156,0.3993,0.0009,0.0445
zenbook,natural-blink-glasses,ir,ir/frame11.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame12.pgm,0.2581,0.2373,0.2186,0.2282,0.0014,0.0299
zenbook,natural-blink-glasses,ir,ir/frame13.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame14.pgm,0.2594,0.2446,0.1848,0.1955,0.0020,0.0189
zenbook,natural-blink-glasses,ir,ir/frame15.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame16.pgm,0.1942,0.1598,0.4476,0.4151,0.0006,0.0255
zenbook,natural-blink-glasses,ir,ir/frame17.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame18.pgm,0.1688,0.1335,0.5372,0.5209,0.0005,0.0462
zenbook,natural-blink-glasses,ir,ir/frame19.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame20.pgm,0.1992,0.1644,0.4487,0.4474,0.0020,0.0608
zenbook,natural-blink-glasses,ir,ir/frame21.pgm,,,,,,
zenbook,natural-blink-glasses,ir,ir/frame22.pgm,0.2254,0.1890,0.3515,0.3325,0.0012,0.0276
zenbook,natural-blink-glasses,ir,ir/frame23.pgm,,,,,,
zenbook,open-frontal,rgb,rgb/rgb00.ppm,0.2742,0.2902,0.0874,0.0676,0.0003,0.0007
zenbook,open-frontal,rgb,rgb/rgb01.ppm,0.2441,0.2655,0.1560,0.1453,0.0003,0.0006
zenbook,open-frontal,rgb,rgb/rgb02.ppm,0.2541,0.2848,0.0924,0.1070,0.0019,0.0013
zenbook,open-frontal,rgb,rgb/rgb03.ppm,0.2656,0.2913,0.0956,0.0934,0.0002,0.0008
zenbook,open-frontal,rgb,rgb/rgb04.ppm,0.2601,0.2863,0.1115,0.1102,0.0003,0.0006
zenbook,open-frontal,rgb,rgb/rgb05.ppm,0.2659,0.2861,0.1237,0.0903,0.0002,0.0005
zenbook,open-frontal,rgb,rgb/rgb06.ppm,0.2591,0.2834,0.1047,0.0926,0.0002,0.0006
zenbook,open-frontal,rgb,rgb/rgb07.ppm,0.2728,0.2992,0.0829,0.0804,0.0002,0.0005
